Pink,Metallica
A,Coldplay
A,System of a Down
A,AC
Red,A
Ra,Kings of Leon
Cold,Death
Red,Cold
A,The All-American Rejects
Red,D
A,The Smashing Pumpkins
Ra,Rage
Red,Queen
Nine Inch Nails,A
A,Jimi Hendrix
David Bowie,The Beatles
as,Alice in Chains
as,Nirvana
Queen,Pink
Coldplay,Kings of Leon
tt,Pink
tt,Snow
as,Pixies
as,Evanescence
A,D
The Beatles,Lady Gaga
D,A Perfect Circle
Ra,Bon
Franz Ferdinand,Muse
D,Guns N' Roses
Ash,A
Queen,Ra
as,Regi
D,Coldplay
Rihanna,Lady Gaga
A,X
The Smiths,The Cure
Radiohead,Red Hot Chili Peppers
Arctic Monkeys,Muse
Incubus,Ra
Ra,Kat
Lady Gaga,Ra
The Beatles,Red Hot Chili Peppers
as,Daft Punk
Death Cab for Cutie,Cold
Lady Gaga,Coldplay
as,The Prodigy
Muse,Down
The Beatles,The Smiths
The Kooks,Muse
The Killers,Cold
A,A Perfect Circle
Linkin Park,Ra
A,The White Stripes
tt,The Smiths
Oasis,The Beatles
D,The P
Death,The Killers
Cold,Pink
A,Muse
Nirvana,Ra
The P,The Killers
as,The P
Pepper,Radiohead
as,Nickelback
Rage,Ra
as,Korn
A,The Killers
D,Cold
Cold,Radiohead
as,The Cure
D,Nickelback
Pink,Nirvana
as,Iron Maiden
Cast,Lady Gaga
Lady Gaga,The Beatles
Snow,Snow Patrol
tt,Britney Spears
Korn,D
tt,Franz Ferdinand
A,Cobra Starship
Ra,Lily Allen
as,Modest Mouse
Slipknot,D
D,Nirvana
D,Rihanna
tt,System of a Down
Radiohead,Cold
D,Low
The Beatles,Oasis
Cold,The P
Arctic Monkeys,Killers
tt,Nirvana
MGMT,Cold
The Cure,Radiohead
as,Nine Inch Nails
Ra,Killers
A,The Smiths
Led Zeppelin,Pink Floyd
D,Avenged Sevenfold
The Killers,Muse
as,Black Eyed Peas
A,James
tt,Rihanna
Pink Floyd,Muse
Killers,Nirvana
A,Down
D,Boys
as,Cold
D,Keane
Red,Pink Floyd
Attack,Massive Attack
America,The All-American Rejects
Coldplay,Pink
D,The Used
Ra,Nirvana
A,Rihanna
Smashing Pumpkins,The Smashing Pumpkins
tt,30 Seconds to Mars
Ra,U2
D,Paul
D,Florence + the Machine
Foo Fighters,A
The Killers,Red Hot Chili Peppers
D,Franz Ferdinand
Ra,Iron Maiden
as,The Strokes
Ke$ha,Lady Gaga
D,Jimi Hendrix
Foo Fighters,D
Regi,Regina Spektor
Radiohead,The Strokes
Coldplay,Killers
tt,The Strokes
Arctic Monkeys,Franz Ferdinand
Led Zeppelin,The Beatles
Pink Floyd,The Beatles
Ra,Led Zeppelin
tt,Radiohead
D,Deftones
The Killers,Arctic Monkeys
A,Amy Winehouse
A,Joy Division
as,Vampire Weekend
D,Bob Marley
Regina Spektor,Regina
A,Elli
Boys,Ra
D,Elli
A,Björk
as,Red Hot Chili Peppers
A,Pixies
tt,Girls
D,as
Nirvana,Down
D,Oasis
Eminem,A
A,Belle and Sebastian
D,Yeah Yeah Yeahs
Lady Gaga,Cold
A,Oasis
Incubus,D
Breaking Benjamin,A
A,Air
as,Katy Perry
The Killers,D
as,Death
Pink,Radiohead
Blu,Radiohead
A,Kings of Leon
Ra,Rammstein
as,Three Days Grace
Coldplay,Arctic Monkeys
as,The Offspring
as,Belle and Sebastian
D,Incubus
A,Bob Marley
as,Kat
Of,Ra
A,blink-182
A,Led Zeppelin
tt,Marilyn Manson
Pink,Queen
Muse,Franz Ferdinand
The P,Prodigy
as,Panic! At the Disco
D,Green Day
Blu,Muse
Muse,The Cure
Down,System of a Down
Red Hot Chili Peppers,Red
tt,Queen
Ra,Joy Division
Linkin Park,A
A,Creed
A,Arctic Monkeys
Linkin Park,D
Metallica,AC
as,Bon
Death,Killers
A,Florence + the Machine
Ra,Radiohead
Ra,Marilyn Manson
A,Avenged Sevenfold
Ra,The Offspring
Ra,Red
Killers,Cold
Seven,Avenged Sevenfold
as,My Chemical Romance
as,Regina Spektor
D,The Beatles
Coldplay,Oasis
as,Beyoncé
D,All Time Low
A,My Chemical Romance
as,Meg
Down,Muse
A,Ke$ha
Muse,Queen
Snow,Muse
D,Beck
Radiohead,Pink Floyd
D,Iron Maiden
Ra,Eminem
D,Michael Jackson
as,Ramones
D,Breaking Benjamin
Metallica,Down
Green Day,A
as,Disturbed
Pearl Jam,Nirvana
Kings of Leon,Muse
D,The White Stripes
D,Alice in Chains
Of,Muse
Coldplay,The Beatles
A,Daft Punk
Radiohead,Death Cab for Cutie
as,The xx
D,The Kooks
as,Weezer
Queen,Cold
D,Snow Patrol
U2,Ra
as,Amy Winehouse
System of a Down,Muse
D,David Bowie
tt,Boys
The Smashing Pumpkins,D
A,Incubus
A,David Bowie
Blu,Blur
as,Queens of the Stone Age
Arctic Monkeys,The Strokes
Oasis,Coldplay
A,Snow Patrol
D,Orchestra
The P,Radiohead
A,Disturbed
A,Sigur Rós
Red Hot Chili Peppers,The Beatles
A,Red
tt,Red
Franz Ferdinand,Arctic Monkeys
Radiohead,Killers
Foo Fighters,Radiohead
Boys,Girls
Beyoncé,Lady Gaga
Killers,Coldplay
D,Portishead
Red,Down
The Beatles,Arctic Monkeys
Red,The Beatles
The P,Muse
as,Blu
D,blink-182
A,Kanye West
Muse,Kasabian
Cold,Kings of Leon
as,Rise Against
tt,Led Zeppelin
D,Bob Dylan
D,Queen
A,The Used
D,Paramore
System of a Down,Ra
The All-American Rejects,A
as,Yann Tiersen
D,Metallica
D,Black Sabbath
tt,Yeah Yeah Yeahs
A,Christina Aguilera
Metallica,Red
A,Bob Dylan
tt,Linkin Park
as,Incubus
Nirvana,Coldplay
Placebo,Muse
The Beatles,David Bowie
A,Children of Bodom
A,Attack
as,Aerosmith
Nirvana,Placebo
D,Daft Punk
as,Ra
A,Ra
Muse,Cold
A,Taylor Swift
tt,Coldplay
The Killers,Kings of Leon
as,Rihanna
A,Paul
Pepper,Muse
The Strokes,Radiohead
Cold,Lady Gaga
Arctic Monkeys,D
Oasis,A
as,Eminem
Muse,Pink Floyd
A,Black Eyed Peas
Muse,The Strokes
Muse,Linkin Park
D,Slipknot
Regi,Regina
Killers,The Killers
A,Boys
as,Pink Floyd
D,Sigur Rós
Red Hot Chili Peppers,Coldplay
The Killers,The P
she,Radiohead
A,Orchestra
Coldplay,Muse
The Beatles,Radiohead
as,U2
Muse,Incubus
D,Down
Killers,Death
A,The Kooks
The P,The Beatles
as,Blur
Ra,The Doors
The Cure,Muse
Panic! At the Disco,A
Oasis,Nirvana
D,The Rolling Stones
as,Foo Fighters
Ra,AC/DC
as,Kings of Leon
Death Cab for Cutie,The Beatles
A,U2
D,Kanye West
Killers,Kings of Leon
Ra,Arctic Monkeys
A,The Beatles
Placebo,Nirvana
A,Beck
Coldplay,The P
Depeche Mode,D
Ra,30 Seconds to Mars
tt,Arctic Monkeys
D,Evanescence
Radiohead,Coldplay
Led Zeppelin,Pink
Ra,The P
A,Slipknot
Arctic Monkeys,Coldplay
A,Queen
Red,Metallica
A,Bullet
Pink,Pink Floyd
as,MGMT
as,Bloc Party
A,Fall Out Boy
The Smiths,The Beatles
Cold,Death Cab for Cutie
Kat,Muse
Placebo,Cold
Marilyn Manson,D
AC,Metallica
Radiohead,Queen
Placebo,Killers
Muse,Red
Pepper,Killers
as,Yeah Yeah Yeahs
tt,David Bowie
as,Radiohead
Cold,as
as,Led Zeppelin
D,Air
Ra,Blur
as,Florence + the Machine
Muse,Paramore
D,Muse
Death,Red
tt,X
Foo Fighters,Red Hot Chili Peppers
Kasabian,Muse
tt,The Killers
Shadow,D
Blu,Coldplay
A,The Doors
Lily Allen,Lady Gaga
A,Green Day
A,Papa Roach
Ra,MGMT
Coldplay,The Killers
Disturbed,D
tt,D
D,Death Cab for Cutie
Cast,Crystal Castles
tt,The Cure
Kings of Leon,The Killers
The Smiths,Radiohead
A,Bullet for My Valentine
Nirvana,Killers
A,Bloc Party
as,Lily Allen
as,James
Muse,Red Hot Chili Peppers
Snow Patrol,Muse
D,Regi
Ra,Foo Fighters
Ra,Keane
Red,Foo Fighters
as,Madonna
Red,Coldplay
Nine Inch Nails,Ra
D,Smashing Pumpkins
tt,The P
as,Joy Division
A,Death
Red,Muse
D,Regina
A,Portishead
D,Britney Spears
Queen,Led Zeppelin
Cold,Oasis
Snow Patrol,A
Cold,Red
as,Kasabian
A,Can
Ra,Coldplay
Red Hot Chili Peppers,Cold
The Beatles,Franz Ferdinand
Ra,Metallica
Ra,Queen
A,Paramore
Death,Cold
A,The Offspring
D,Ke$ha
as,Avril Lavigne
as,Death Cab for Cutie
Ra,Interpol
Ra,The Killers
as,Gorillaz
Muse,The Kooks
Death Cab for Cutie,Radiohead
Green Day,Muse
tt,Placebo
The Killers,The Strokes
Ra,David Bowie
A,Foo Fighters
D,Snow
Blu,Ra
Red Hot Chili Peppers,Killers
Ra,Smashing Pumpkins
Pink,Muse
Lady Gaga,Rihanna
Ra,Queens of the Stone Age
Placebo,Radiohead
The Beatles,Queen
Red Hot Chili Peppers,Foo Fighters
D,Marilyn Manson
D,Megadeth
Ra,Snow Patrol
Arctic Monkeys,The Kooks
Coldplay,Red
Lady Gaga,D
A,Lady Gaga
D,Tool
A,Panic! At the Disco
tt,Down
Red,Ra
Pink,Coldplay
Queens of the Stone Age,D
Ra,Phoenix
D,Björk
Black Eyed Peas,as
Ra,Ramones
Pink,Arctic Monkeys
Bon,Ra
as,Marilyn Manson
Ra,Regina Spektor
D,A
A,Opeth
D,Red
Ra,Sigur Rós
A,Pearl Jam
A,The Clash
tt,Elli
Nirvana,Pearl Jam
as,Björk
The Beatles,Pink Floyd
Coldplay,Placebo
Incubus,Muse
A,Maroon
Pink,The Beatles
D,Three Days Grace
as,Slayer
D,X
as,Placebo
Ra,The Smiths
as,Britney Spears
D,Tegan and Sara
D,Queens of the Stone Age
A,Modest Mouse
Ra,Oasis
Radiohead,Pearl Jam
A,Cold
as,Rammstein
Ra,Placebo
A,Three Days Grace
tt,Metallica
Cree,Creed
D,Crystal Castles
Paramore,Lady Gaga
A,Prodigy
A,Red Hot Chili Peppers
as,Interpol
Coldplay,Lady Gaga
Killers,The Strokes
A,Crystal Castles
as,Phoenix
Gorillaz,Ra
D,Christina Aguilera
Nirvana,The Beatles
The Strokes,The Beatles
A,Depeche Mode
tt,Foo Fighters
D,Amy Winehouse
Muse,Death
Paramore,A
Ra,Linkin Park
AC,D
Death,Arctic Monkeys
A,Aerosmith
The Killers,Placebo
Muse,Foo Fighters
A,All Time Low
A,3OH!3
The Rolling Stones,The Beatles
Lady Gaga,The P
D,Bullet
as,Nightwish
D,Lady Gaga
tt,Attack
A,Nickelback
Coldplay,as
Muse,Pink
The Beatles,Nirvana
D,Rage
as,Ke$ha
Pink Floyd,Radiohead
A,The P
she,Portishead
D,Creed
D,Cast
as,Low
Radiohead,Red
Muse,Metallica
D,The All-American Rejects
D,Foo Fighters
D,Arctic Monkeys
30 Seconds to Mars,Muse
as,Coldplay
D,30 Seconds to Mars
A,as
The P,Coldplay
as,D
Oasis,Arctic Monkeys
as,A
Foo Fighters,Red
as,X
as,Sigur Rós
Radiohead,Franz Ferdinand
tt,Death
Pepper,The Killers
Ra,Kasabian
Kat,Ra
Arctic Monkeys,The Killers
A,The Rolling Stones
D,The Offspring
Ra,Nine Inch Nails
Ra,The Rolling Stones
Ra,Cold
Lady Gaga,Muse
Nirvana,Queen
The Beatles,Death Cab for Cutie
D,Girls
Smashing Pumpkins,Ra
D,Can
Snow,A
Arctic Monkeys,Red
Franz Ferdinand,The Beatles
as,The Rolling Stones
Placebo,Arctic Monkeys
Ra,Modest Mouse
Blu,Cold
A,Girls
D,Children of Bodom
as,Arctic Monkeys
A,The Cure
A,Guns N' Roses
D,Korn
Pink Floyd,Pink
Metallica,System of a Down
Queen,Nirvana
Ra,Pink Floyd
D,Disturbed
D,James
Killers,The Beatles
as,Orchestra
Muse,MGMT
Perfect,D
D,Pearl Jam
as,Franz Ferdinand
Nirvana,A
Muse,Radiohead
Nirvana,D
Perfect,A
as,Girls
Lady Gaga,Beyoncé
D,AC/DC
D,Rise Against
Velvet,D
as,The Kooks
as,Bob Dylan
Killers,Ra
The Cure,The Smiths
The Killers,Killers
A,Iron Maiden
D,Papa Roach
Pepper,Red
Ra,Depeche Mode
Kat,Paramore
Of,A
Of,D
D,The Cure
Radiohead,The Beatles
Muse,Nirvana
Pepper,D
D,The Clash
The Beatles,Ra
Pepper,A
D,Massiv
Kings of Leon,Cold
Radiohead,Kings of Leon
D,The Smashing Pumpkins
tt,Massive Attack
Muse,The Killers
D,Lily Allen
Muse,Snow Patrol
A,Megadeth
Pink,Led Zeppelin
Can,Ra
A,Madonna
The P,Cold
A,Bon
Britney Spears,Lady Gaga
A,Black Sabbath
Kat,Katy Perry
as,Smashing Pumpkins
A,Weezer
System of a Down,D
Down,Ra
A,Breaking Benjamin
Coldplay,Red Hot Chili Peppers
A,Tegan and Sara
Queen,Red
The Beatles,Coldplay
Nirvana,Red
The Strokes,The Killers
The P,Ra
A,MGMT
Death,Death Cab for Cutie
Cold,Ra
D,Rammstein
Lady Gaga,Lily Allen
tt,Killers
Ra,The Strokes
Red Hot Chili Peppers,The Killers
D,Bullet for My Valentine
Radiohead,The Cure
A,Nirvana
A,The Who
X,Muse
Coldplay,Nirvana
Nirvana,Oasis
as,AC
A,Franz Ferdinand
as,30 Seconds to Mars
Killers,D
A,Kasabian
Ra,The White Stripes
Nirvana,Red Hot Chili Peppers
Pepper,The Beatles
David Bowie,Radiohead
tt,Cold
tt,Ra
A,Blur
D,The Who
A,Killers
D,Killers
as,Kanye West
Red,Radiohead
Guns N' Roses,D
A,Meg
Muse,Oasis
MGMT,The Beatles
Ra,Bob Dylan
Stars,Cobra Starship
The Beatles,The Strokes
A,Kat
D,Blur
Oasis,Muse
A,Yeah Yeah Yeahs
Ra,Death Cab for Cutie
Ra,Muse
Nirvana,Foo Fighters
Red,Killers
D,My Chemical Romance
D,Pixies
as,Crystal Castles
tt,Oasis
D,The Strokes
Radiohead,Arctic Monkeys
A,Cree
tt,Eminem
as,The Beatles
A,Eminem
Arctic Monkeys,Cold
as,Queen
Arctic Monkeys,Radiohead
D,AC
Ra,Gorillaz
A,Rise Against
as,Paramore
as,Cast
as,Guns N' Roses
Red,Nirvana
Smashing Pumpkins,D
Ra,blink-182
Ra,Pixies
Placebo,Coldplay
Lady Gaga,Britney Spears
A,Gorillaz
D,Aerosmith
Foo Fighters,Nirvana
The Killers,The Beatles
as,Prodigy
Arctic Monkeys,Nirvana
Kings of Leon,Coldplay
tt,blink-182
Radiohead,Oasis
as,Fall Out Boy
Killers,Arctic Monkeys
D,Madonna
D,Death
A,Blu
Foo Fighters,Ra
D,Panic! At the Disco
D,Kings of Leon
Cold,The Killers
Ra,Vampire Weekend
Alice in Chains,D
Killers,Red Hot Chili Peppers
Red,Red Hot Chili Peppers
Death Cab for Cutie,Muse
D,The Doors
D,Joy Division
Ra,Björk
she,Ra
A,Michael Jackson
Killers,The P
Lady Gaga,Paramore
as,blink-182
Perfect,A Perfect Circle
as,Keane
Blu,The Beatles
A,Lily Allen
Ra,Pink
X,Radiohead
Death,The Beatles
Led Zeppelin,Queen
D,Led Zeppelin
A,Alice in Chains
D,Modest Mouse
Papa Roach,D
Bullet,Bullet for My Valentine
Radiohead,The Smiths
System of a Down,Metallica
Muse,30 Seconds to Mars
MGMT,Muse
Ra,Girls
A,30 Seconds to Mars
as,Metallica
as,All Time Low
Radiohead,Muse
tt,The Beatles
as,The Clash
A,Slayer
tt,Death Cab for Cutie
Ra,Tool
tt,Lady Gaga
D,Cobra Starship
Red Hot Chili Peppers,Radiohead
as,The White Stripes
Ra,James
tt,The White Stripes
Muse,System of a Down
D,The xx
Ra,Attack
Ra,Snow
Muse,D
Cold,A
Muse,Kings of Leon
Cold,D
as,Beck
Red Hot Chili Peppers,D
D,Cree
Queen,Queens of the Stone Age
as,Lady Gaga
Red Hot Chili Peppers,A
Iron Maiden,Metallica
Linkin Park,Muse
Radiohead,Foo Fighters
D,Pink Floyd
as,Black Sabbath
Coldplay,Cold
tt,Paramore
as,Air
Metallica,D
Ra,Incubus
tt,Pink Floyd
D,Bloc Party
D,Pink
Metallica,Muse
Muse,The Beatles
A,Nightwish
Meg,Megadeth
A,Death Cab for Cutie
Ra,Guns N' Roses
D,Katy Perry
D,Prodigy
The Beatles,Killers
D,Nightwish
as,The All-American Rejects
A,Linkin Park
as,Boys
A,The Strokes
D,Kat
Ra,The Kooks
Down,D
Muse,Lady Gaga
Queen,The Beatles
Cold,Nirvana
Muse,Arctic Monkeys
D,Meg
Radiohead,Placebo
America,A
D,Black Eyed Peas
tt,Red Hot Chili Peppers
Lady Gaga,as
as,Killers
The Beatles,Death
as,Paul
tt,The Rolling Stones
The P,Arctic Monkeys
Oasis,The Killers
as,System of a Down
D,MGMT
Ra,The Smashing Pumpkins
tt,U2
Pearl Jam,Radiohead
Stars,A
Radiohead,Pink
as,Elli
Kat,Lady Gaga
A,Massiv
Pink Floyd,Queen
Killers,Muse
A,Regina Spektor
Radiohead,The Killers
A,tt
D,Radiohead
D,Depeche Mode
Coldplay,Radiohead
A,Regina
Red,Pink
Arctic Monkeys,Placebo
tt,Lily Allen
tt,Green Day
Pepper,Red Hot Chili Peppers
Metallica,Pink
Seven,D
D,Bon
Meg,D
Red,Death
D,Weezer
Boys,The Beatles
Ra,System of a Down
The Beatles,The Rolling Stones
The Kooks,Arctic Monkeys
X,D
Cold,Queen
as,Breaking Benjamin
as,Down
Muse,Killers
as,Green Day
A,Massive Attack
